FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn
StartTime,03/18/26 00:08:50.230980864
TimeFormat,Relative

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
inertial-6286.188861:estOrientQuaternion,Matrix,200Hz[1x4],,,,,,
inertial-6286.188861:estOrientQuaternion:valid,ValidFlag,200Hz[1x4],,,,,,

DATA_START
Time,inertial-6286.188861:estOrientQuaternion[0-0],inertial-6286.188861:estOrientQuaternion[0-1],inertial-6286.188861:estOrientQuaternion[0-2],inertial-6286.188861:estOrientQuaternion[0-3],inertial-6286.188861:estOrientQuaternion:valid
0.000000000,0.992724,0.004641,-0.008175,0.120045,1
0.005015296,0.992724,0.004627,-0.008155,0.120050,1
0.010025728,0.992724,0.004632,-0.008159,0.120047,1
0.015031552,0.992724,0.004639,-0.008164,0.120049,1
0.020033024,0.992723,0.004635,-0.008160,0.120051,1
0.025029631,0.992724,0.004633,-0.008164,0.120049,1
0.030021887,0.992723,0.004637,-0.008163,0.120052,1
0.035009537,0.992723,0.004642,-0.008171,0.120057,1
0.039992575,0.992723,0.004634,-0.008172,0.120055,1
0.044971518,0.992724,0.004630,-0.008162,0.120050,1
0.049945857,0.992723,0.004637,-0.008166,0.120054,1
0.054915585,0.992723,0.004637,-0.008168,0.120052,1
0.059880704,0.992724,0.004635,-0.008166,0.120048,1
0.064841472,0.992724,0.004636,-0.008169,0.120049,1
0.069883645,0.992724,0.004633,-0.008171,0.120047,1
0.074921474,0.992723,0.004636,-0.008169,0.120050,1
0.079954691,0.992724,0.004632,-0.008167,0.120047,1
0.084984317,0.992724,0.004631,-0.008165,0.120049,1
0.090009600,0.992723,0.004629,-0.008160,0.120056,1
0.095030017,0.992723,0.004634,-0.008165,0.120051,1
0.100046083,0.992723,0.004638,-0.008167,0.120056,1
0.105057538,0.992722,0.004629,-0.008160,0.120059,1
0.110064641,0.992723,0.004629,-0.008161,0.120056,1
0.115067139,0.992722,0.004642,-0.008161,0.120061,1
0.120065026,0.992722,0.004637,-0.008164,0.120061,1
0.125058308,0.992722,0.004626,-0.008151,0.120063,1
0.130046725,0.992722,0.004636,-0.008153,0.120066,1
0.135030523,0.992721,0.004640,-0.008166,0.120068,1
0.140010238,0.992721,0.004624,-0.008153,0.120071,1
0.144985348,0.992721,0.004628,-0.008148,0.120072,1
0.149955839,0.992721,0.004642,-0.008159,0.120074,1
0.154925317,0.992720,0.004638,-0.008158,0.120079,1
0.159890428,0.992720,0.004630,-0.008152,0.120080,1
0.164933115,0.992720,0.004638,-0.008155,0.120081,1
0.169971198,0.992719,0.004641,-0.008159,0.120084,1
0.175004929,0.992719,0.004633,-0.008160,0.120083,1
0.180034310,0.992720,0.004629,-0.008157,0.120081,1
0.185058817,0.992720,0.004636,-0.008165,0.120081,1
0.190078974,0.992720,0.004634,-0.008169,0.120081,1
0.195094272,0.992720,0.004631,-0.008164,0.120079,1
0.200104967,0.992720,0.004631,-0.008166,0.120077,1
0.205111042,0.992720,0.004633,-0.008172,0.120079,1
0.210112259,0.992720,0.004635,-0.008174,0.120079,1
0.215109125,0.992720,0.004631,-0.008173,0.120081,1
0.220101118,0.992719,0.004634,-0.008175,0.120089,1
0.225088507,0.992718,0.004633,-0.008177,0.120093,1
0.230073601,0.992719,0.004631,-0.008175,0.120089,1
0.235054329,0.992718,0.004628,-0.008170,0.120095,1
0.240030468,0.992718,0.004627,-0.008169,0.120098,1
0.245001987,0.992718,0.004633,-0.008172,0.120096,1
0.249969155,0.992718,0.004635,-0.008177,0.120098,1
0.254931718,0.992718,0.004626,-0.008177,0.120098,1
0.259974658,0.992717,0.004621,-0.008166,0.120100,1
0.265012741,0.992717,0.004637,-0.008170,0.120102,1
0.270045966,0.992718,0.004627,-0.008172,0.120096,1
0.275074571,0.992718,0.004618,-0.008159,0.120093,1
0.280098289,0.992718,0.004629,-0.008167,0.120098,1
0.285117447,0.992718,0.004632,-0.008178,0.120094,1
